Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
CE5716,,,,
CE5717,,,,
CE5721QA,,,,
CE5721QB,,,,
CE5805A,,,,
CE5805B,,,,
CE5805QA,1,0,1,0.999381185
CE5805QB,,,,
CE5806A,1,0,1,0.999625325
CE5806B,,,,
CE5806QA,,,,
CE5806QB,,,,
CE5807A,,,,
CE5807B,,,,
CE5807QA,,,,
CE5807QB,,,,
CE5808A,,,,
CE5808B,,,,
CE5808QA,,,,
CE5808QB,,,,
CE5809,,,,
CE5999,,,,
CE6001,,,,
CE6006,,,,
CE6077A,,,,
CE6077B,,,,
CE6077QA,,,,
CE6077QB,,,,
CE6102,,,,
CE6601,,,,
CE6999,,,,
CEG5001,,,,
CEG5002,,,,
CEG5003,,,,
CEG5101,,,,
CEG5103,,,,
CEG5104,,,,
CEG5201,,,,
CEG5202,,,,
CEG5203,0,1,0,-0.959875882
CEG5204,,,,
CEG5205,,,,
CEG5301,0,1,0,-0.963050365
CEG5302,,,,
CEG5303,,,,
CEG5304,,,,
CFA1101A,,,,
CFA1101B,,,,
CFA2101A,0,1,0,-0.905462623
CFA2101B,,,,
CFG1002,5,5,0.5,-0.012799555
CFG1003,0,7,0,-0.938021651
CFG1004,4,3,0.571428571,0.132935873
CFG1500,,,,
CFG1600,0,1,0,-0.990621328
CFG2002I,,,,
CFG2002ID,,,,
CFG2002IN,,,,
CFG2002KH,,,,
CFG2002T,,,,
CFG2002TH,,,,
CFG2002VN,,,,
CFG2100,0,1,0,-0.974943638
CFG2101,,,,
CFG2600A,,,,
CFG3001,2,2,0.5,-0.013494775
CG1111A,2,3,0.4,-0.211001945
CG2023,0,4,0,-0.961189389
CG2027,3,2,0.6,0.146309268
CG2028,1,1,0.5,0.061678022
CG2111A,2,3,0.4,-0.220429254
CG2271,5,3,0.625,0.223366052
CG3207,2,0,1,0.988260478
CG4001,,,,
CG4002,2,2,0.5,0.119616807
CG4003,,,,
CH1101E,2,3,0.4,-0.191582513
CH2121,,,,
CH2141,0,1,0,-0.976004004
CH2161,0,1,0,-0.971427321
CH2221,,,,
CH2243,,,,
CH2275,1,0,1,0.999343455
CH2276,,,,
CH2291,,,,
CH2293,,,,
CH2295,,,,
CH2299,,,,
CH2392,,,,
CH3221,,,,
CH3230,,,,
CH3244,,,,
CH3246,,,,
CH3294,,,,
CH3298,,,,
CH3550,,,,
CH4203,,,,
CH4203HM,,,,
CH4207,,,,
CH4207HM,,,,
CH4222,,,,
CH4222HM,,,,
CH4224,,,,
CH4224HM,,,,
CH4227,,,,
CH4227HM,,,,
CH4261,,,,
CH4261HM,,,,
CH4262,,,,
CH4262HM,,,,
CH4401,,,,
CH4401HM,,,,
CH4882A,,,,
CH4882AHM,,,,
CH5213,,,,
CH5213R,,,,
CH5223,,,,
CH5223R,,,,
CH5224,,,,
CH5242,,,,
CH5243,,,,
CH5243R,,,,
CH5247,,,,
CH5247R,,,,
CH5660,,,,
CH6201,,,,
CH6227,,,,
CH6241,,,,
CH6243,,,,
CH6261,,,,
CH6262,,,,
CH6263,,,,
CH6770,,,,
CHC5101,,,,
CHC5102,,,,
CHC5301,,,,
CHC5302,,,,
CHC5303,,,,
CHC5305,,,,
CHC5307,,,,
CHC5308,,,,
CHC5310,,,,
CHC5313,,,,
CHC5314,,,,
CHC5315,,,,
CHC5316,,,,
CHC5319,,,,
CHC5322,,,,
CHC5325,,,,
CHC5326,,,,
CHC5330,,,,
CHC5331,,,,
CHC5332,,,,
CHC5333,,,,
CHC5334,,,,
CHC5335,,,,
CHC5336,,,,
CHC5337,,,,
CHC5338,,,,
CHC5339,,,,
CHC5340,,,,
CHC5341,,,,
CHC5342,,,,
CHC5347,,,,
CL1101E,4,3,0.571428571,0.168932191
CL1101S,,,,
CL2101,,,,
CL2101S,,,,
CL2102,1,0,1,0.729958713
CL2103,,,,
CL3104,,,,
CL3203,,,,
CL3210,,,,
CL3218,,,,
CL3550,,,,
CLC1101,2,5,0.285714286,-0.426363068
CLC2201,1,0,1,0.968424022
CLC2202,1,2,0.333333333,-0.340809663
CLC2203,,,,
CLC2204,2,4,0.333333333,-0.328672121
CLC3303,2,1,0.666666667,0.331364612
CLC3304A,1,0,1,0.992973924
CLC3305,,,,
CLC3306,,,,
CLC3307,,,,
CM1102,2,7,0.222222222,-0.519707958
CM1417,1,0,1,0.971956313
CM2112,0,3,0,-0.98649929
CM2122,1,3,0.25,-0.39360933
CM2133,1,1,0.5,0.060504317
CM2143,0,2,0,-0.844799429
CM2288,,,,
CM2288R,,,,
CM2289,,,,
CM2289R,,,,
CM2310,,,,
CM2312,,,,
CM2313,,,,
CM3111,,,,
CM3121,,,,
CM3131,,,,
CM3141,,,,
CM3191,,,,
CM3192,0,1,0,-0.933109522
CM3212,2,3,0.4,-0.219373572
CM3221,1,1,0.5,-0.010179162
CM3225,1,0,1,0.839164317
CM3251,2,0,1,0.975577444
CM3252,0,2,0,-0.991215229
CM3253,1,1,0.5,-0.18234092
CM3261,,,,
CM3267,,,,
CM3288,,,,
CM3288NR,,,,
CM3288R,,,,
CM3289,,,,
CM3289N,,,,
CM3289NR,,,,
CM3289R,,,,
CM3296,1,0,1,0.988221467
CM3310,,,,
CM3311,,,,
CM3312,,,,
CM3313,,,,
CM4199A,,,,
CM4211,1,0,1,0.998000681
CM4225,3,3,0.5,-0.017059366
CM4227,0,1,0,-0.988420725
CM4228,1,1,0.5,-0.029685766
CM4236,,,,
CM4242,,,,
CM4253,,,,
CM4254,,,,
CM4258,2,2,0.5,-0.172645479
